shape_id,route_id,direction_id,stop_sequence,segment_id,stop_id,end_stop_id,speed,trip_id,arrival_time,departure_time,latitude,longitude,congestion_level
1367bd0e-b38f-442d-8c9d-6c07d22eb8fd,323165ef-99ee-4955-801e-553bcb415229,0,2,584e20fe-2acf-4ca6-972d-5e2f9fd1bdf8 - b64abe1c-2622-45d1-a112-f363f75ff0df,584e20fe-2acf-4ca6-972d-5e2f9fd1bdf8,b64abe1c-2622-45d1-a112-f363f75ff0df,8,48651ac7-32ee-4a05-a8d3-01a6800116ed,21:30:00,21:31:00,44.40999837,-79.67387444,4
1367bd0e-b38f-442d-8c9d-6c07d22eb8fd,323165ef-99ee-4955-801e-553bcb415229,0,2,584e20fe-2acf-4ca6-972d-5e2f9fd1bdf8 - b64abe1c-2622-45d1-a112-f363f75ff0df,584e20fe-2acf-4ca6-972d-5e2f9fd1bdf8,b64abe1c-2622-45d1-a112-f363f75ff0df,8,1c4565df-72d8-4a1b-abdb-8bf58b6a9c4f,20:30:00,20:31:00,44.40999837,-79.67387444,4
1367bd0e-b38f-442d-8c9d-6c07d22eb8fd,323165ef-99ee-4955-801e-553bcb415229,0,2,584e20fe-2acf-4ca6-972d-5e2f9fd1bdf8 - b64abe1c-2622-45d1-a112-f363f75ff0df,584e20fe-2acf-4ca6-972d-5e2f9fd1bdf8,b64abe1c-2622-45d1-a112-f363f75ff0df,8,b2c8b89d-e230-47dd-8b47-0cf959f43ad2,23:30:00,23:30:00,44.40999837,-79.67387444,4
1367bd0e-b38f-442d-8c9d-6c07d22eb8fd,323165ef-99ee-4955-801e-553bcb415229,0,2,584e20fe-2acf-4ca6-972d-5e2f9fd1bdf8 - b64abe1c-2622-45d1-a112-f363f75ff0df,584e20fe-2acf-4ca6-972d-5e2f9fd1bdf8,b64abe1c-2622-45d1-a112-f363f75ff0df,8,27af6d3b-513f-455f-bcd5-0b538f30a978,20:30:00,20:30:00,44.40999837,-79.67387444,4
1367bd0e-b38f-442d-8c9d-6c07d22eb8fd,323165ef-99ee-4955-801e-553bcb415229,0,2,584e20fe-2acf-4ca6-972d-5e2f9fd1bdf8 - b64abe1c-2622-45d1-a112-f363f75ff0df,584e20fe-2acf-4ca6-972d-5e2f9fd1bdf8,b64abe1c-2622-45d1-a112-f363f75ff0df,8,5299a3e7-9829-441a-bad5-2833003223ee,19:30:00,19:31:00,44.40999837,-79.67387444,4
1367bd0e-b38f-442d-8c9d-6c07d22eb8fd,323165ef-99ee-4955-801e-553bcb415229,0,2,584e20fe-2acf-4ca6-972d-5e2f9fd1bdf8 - b64abe1c-2622-45d1-a112-f363f75ff0df,584e20fe-2acf-4ca6-972d-5e2f9fd1bdf8,b64abe1c-2622-45d1-a112-f363f75ff0df,8,7d4e50ca-c806-4126-ab59-96986608db95,11:30:00,11:30:00,44.40999837,-79.67387444,4
1367bd0e-b38f-442d-8c9d-6c07d22eb8fd,323165ef-99ee-4955-801e-553bcb415229,0,2,584e20fe-2acf-4ca6-972d-5e2f9fd1bdf8 - b64abe1c-2622-45d1-a112-f363f75ff0df,584e20fe-2acf-4ca6-972d-5e2f9fd1bdf8,b64abe1c-2622-45d1-a112-f363f75ff0df,8,841f4ee2-2f6d-46a6-9ebf-7ec763cce036,15:30:00,15:30:00,44.40999837,-79.67387444,4
1367bd0e-b38f-442d-8c9d-6c07d22eb8fd,323165ef-99ee-4955-801e-553bcb415229,0,2,584e20fe-2acf-4ca6-972d-5e2f9fd1bdf8 - b64abe1c-2622-45d1-a112-f363f75ff0df,584e20fe-2acf-4ca6-972d-5e2f9fd1bdf8,b64abe1c-2622-45d1-a112-f363f75ff0df,8,de3a729d-c6d7-42c8-99be-b52d4cc55052,13:00:00,13:00:00,44.40999837,-79.67387444,4
1367bd0e-b38f-442d-8c9d-6c07d22eb8fd,323165ef-99ee-4955-801e-553bcb415229,0,2,584e20fe-2acf-4ca6-972d-5e2f9fd1bdf8 - b64abe1c-2622-45d1-a112-f363f75ff0df,584e20fe-2acf-4ca6-972d-5e2f9fd1bdf8,b64abe1c-2622-45d1-a112-f363f75ff0df,8,1a6e4987-16d0-4fd5-b127-a7d54c73b96f,08:00:00,08:00:00,44.40999837,-79.67387444,4
1367bd0e-b38f-442d-8c9d-6c07d22eb8fd,323165ef-99ee-4955-801e-553bcb415229,0,2,584e20fe-2acf-4ca6-972d-5e2f9fd1bdf8 - b64abe1c-2622-45d1-a112-f363f75ff0df,584e20fe-2acf-4ca6-972d-5e2f9fd1bdf8,b64abe1c-2622-45d1-a112-f363f75ff0df,8,e862c528-0550-4e26-b537-cc83f0f4d964,15:30:00,15:31:00,44.40999837,-79.67387444,4
1367bd0e-b38f-442d-8c9d-6c07d22eb8fd,323165ef-99ee-4955-801e-553bcb415229,0,2,584e20fe-2acf-4ca6-972d-5e2f9fd1bdf8 - b64abe1c-2622-45d1-a112-f363f75ff0df,584e20fe-2acf-4ca6-972d-5e2f9fd1bdf8,b64abe1c-2622-45d1-a112-f363f75ff0df,8,05e9f7f8-0fc0-4109-9713-dc202c980ed3,08:30:00,08:31:00,44.40999837,-79.67387444,4
1367bd0e-b38f-442d-8c9d-6c07d22eb8fd,323165ef-99ee-4955-801e-553bcb415229,0,2,584e20fe-2acf-4ca6-972d-5e2f9fd1bdf8 - b64abe1c-2622-45d1-a112-f363f75ff0df,584e20fe-2acf-4ca6-972d-5e2f9fd1bdf8,b64abe1c-2622-45d1-a112-f363f75ff0df,8,fa21edaa-6f9c-4a25-93fc-7335cbdd71a4,17:30:00,17:31:00,44.40999837,-79.67387444,4
1367bd0e-b38f-442d-8c9d-6c07d22eb8fd,323165ef-99ee-4955-801e-553bcb415229,0,2,584e20fe-2acf-4ca6-972d-5e2f9fd1bdf8 - b64abe1c-2622-45d1-a112-f363f75ff0df,584e20fe-2acf-4ca6-972d-5e2f9fd1bdf8,b64abe1c-2622-45d1-a112-f363f75ff0df,8,87c9b9b9-4f22-476e-a085-2be5e4f6de57,12:00:00,12:01:00,44.40999837,-79.67387444,4
1367bd0e-b38f-442d-8c9d-6c07d22eb8fd,323165ef-99ee-4955-801e-553bcb415229,0,2,584e20fe-2acf-4ca6-972d-5e2f9fd1bdf8 - b64abe1c-2622-45d1-a112-f363f75ff0df,584e20fe-2acf-4ca6-972d-5e2f9fd1bdf8,b64abe1c-2622-45d1-a112-f363f75ff0df,8,22d0dc1f-2da1-43bd-a7d3-73a2adad22fc,15:59:00,16:01:00,44.40999837,-79.67387444,4
